X,Y,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID
35.1826991600756,39.1356929537641,TR,"0",TR,Türkiye,Türkiye,"0",,"0",TR
28.7549838680189,41.1715989720564,TR1,"1",TR,İstanbul,İstanbul,"0",,"0",TR1
27.3066181696174,40.4906339548757,TR2,"1",TR,Batı Marmara,Batı Marmara,"0",,"0",TR2
28.881001275885,38.3033599662169,TR3,"1",TR,Ege,Ege,"0",,"0",TR3
30.4655127064989,40.221133941654,TR4,"1",TR,Doğu Marmara,Doğu Marmara,"0",,"0",TR4
32.6782032205325,38.498919632777,TR5,"1",TR,Batı Anadolu,Batı Anadolu,"0",,"0",TR5
33.5999709371359,37.2349507403864,TR6,"1",TR,Akdeniz,Akdeniz,"0",,"0",TR6
35.6379092670838,39.1254390488489,TR7,"1",TR,Orta Anadolu,Orta Anadolu,"0",,"0",TR7
34.5859466962242,41.0019689724793,TR8,"1",TR,Batı Karadeniz,Batı Karadeniz,"0",,"0",TR8
39.6629776153323,40.770390603815,TR9,"1",TR,Doğu Karadeniz,Doğu Karadeniz,"0",,"0",TR9
41.80148888313,40.0500060434005,TRA,"1",TR,Kuzeydoğu Anadolu,Kuzeydoğu Anadolu,"0",,"0",TRA
41.3833015104121,38.6140986758816,TRB,"1",TR,Ortadoğu Anadolu,Ortadoğu Anadolu,"0",,"0",TRB
39.9462504988043,37.5796725831061,TRC,"1",TR,Güneydoğu Anadolu,Güneydoğu Anadolu,"0",,"0",TRC
32.3119276872626,41.3006124646092,TR81,"2",TR,"Zonguldak, Karabük, Bartın","Zonguldak, Karabük, Bartın","0",,"0",TR81
33.8650072181921,41.2982276893117,TR82,"2",TR,"Kastamonu, Çankırı, Sinop","Kastamonu, Çankırı, Sinop","0",,"0",TR82
32.7131881730904,37.842854026837,TR52,"2",TR,"Konya, Karaman","Konya, Karaman","0",,"0",TR52
30.7310590736054,37.1959445488371,TR61,"2",TR,"Antalya, Isparta, Burdur","Antalya, Isparta, Burdur","0",,"0",TR61
34.6780677811369,37.033557141121,TR62,"2",TR,"Adana, Mersin","Adana, Mersin","0",,"0",TR62
36.7018775213319,37.4484250681385,TR63,"2",TR,"Hatay, Kahramanmaraş, Osmaniye","Hatay, Kahramanmaraş, Osmaniye","0",,"0",TR63
34.2187394114038,38.7517771007892,TR71,"2",TR,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir","Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir","0",,"0",TR71
36.3941965263062,39.3159870318256,TR72,"2",TR,"Kayseri, Sivas, Yozgat","Kayseri, Sivas, Yozgat","0",,"0",TR72
35.6477888408892,40.7074093921931,TR83,"2",TR,"Samsun, Tokat, Çorum, Amasya","Samsun, Tokat, Çorum, Amasya","0",,"0",TR83
39.6629776153323,40.770390603815,TR90,"2",TR,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane","0",,"0",TR90
40.7794180245815,39.9601863929547,TRA1,"2",TR,"Erzurum, Erzincan, Bayburt","Erzurum, Erzincan, Bayburt","0",,"0",TRA1
43.201064499474,40.1580941342825,TRA2,"2",TR,"Ağrı, Kars, Iğdır, Ardahan","Ağrı, Kars, Iğdır, Ardahan","0",,"0",TRA2
39.2985120167043,38.8178232538836,TRB1,"2",TR,"Malatya, Elazığ, Bingöl, Tunceli","Malatya, Elazığ, Bingöl, Tunceli","0",,"0",TRB1
43.1339313466168,38.4133992849125,TRB2,"2",TR,"Van, Muş, Bitlis, Hakkari","Van, Muş, Bitlis, Hakkari","0",,"0",TRB2
37.7871621526236,37.404621460978,TRC1,"2",TR,"Gaziantep, Adıyaman, Kilis","Gaziantep, Adıyaman, Kilis","0",,"0",TRC1
39.6424810610733,37.62312650419,TRC2,"2",TR,"Şanlıurfa, Diyarbakır","Şanlıurfa, Diyarbakır","0",,"0",TRC2
41.6607944273667,37.6010193752244,TRC3,"2",TR,"Mardin, Batman, Şırnak, Siirt","Mardin, Batman, Şırnak, Siirt","0",,"0",TRC3
28.7549838680189,41.1715989720564,TR10,"2",TR,İstanbul,İstanbul,"0",,"0",TR10
27.1501677140371,41.3424664086201,TR21,"2",TR,"Tekirdağ, Edirne, Kırklareli","Tekirdağ, Edirne, Kırklareli","0",,"0",TR21
27.4283791136253,39.8119366409535,TR22,"2",TR,"Balıkesir, Çanakkale","Balıkesir, Çanakkale","0",,"0",TR22
27.2829747361008,38.4680977252531,TR31,"2",TR,İzmir,İzmir,"0",,"0",TR31
